Date & Time,companyName,previousOpen,dayLow,dayHigh,currentValue
04/Jun/2021 | 05:55:19,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2189.80
04/Jun/2021 | 05:55:29,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2189.80
04/Jun/2021 | 05:55:39,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2187.50
04/Jun/2021 | 05:55:49,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2187.50
04/Jun/2021 | 05:55:59,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2187.50
04/Jun/2021 | 05:56:09,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2187.50
04/Jun/2021 | 05:56:19,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2187.50
04/Jun/2021 | 05:56:29,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2187.50
04/Jun/2021 | 05:56:39,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2188.20
04/Jun/2021 | 05:56:50,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2188.20
04/Jun/2021 | 05:57:00,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2188.20
04/Jun/2021 | 05:57:11,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2188.20
04/Jun/2021 | 05:57:21,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2188.20
04/Jun/2021 | 05:57:31,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2188.20
04/Jun/2021 | 05:57:41,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2188.35
04/Jun/2021 | 05:57:51,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2188.35
04/Jun/2021 | 05:58:01,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2188.35
04/Jun/2021 | 05:58:11,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2188.35
04/Jun/2021 | 05:58:21,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2188.35
04/Jun/2021 | 05:58:32,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2188.35
04/Jun/2021 | 05:58:42,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2188.35
04/Jun/2021 | 05:58:52,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2189.30
04/Jun/2021 | 05:59:02,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2189.30
04/Jun/2021 | 05:59:12,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2189.30
04/Jun/2021 | 05:59:22,RELIANCE INDUSTRIES LTD.,2219.00,2183.80,2219.00,2189.30
